frame,detections
14,"defaultdict(<class 'int'>, {'person': 2})"
16,"defaultdict(<class 'int'>, {'person': 1})"
18,"defaultdict(<class 'int'>, {'person': 1})"
20,"defaultdict(<class 'int'>, {'person': 1})"
22,"defaultdict(<class 'int'>, {'person': 1})"
24,"defaultdict(<class 'int'>, {'person': 1})"
26,"defaultdict(<class 'int'>, {'person': 1})"
28,"defaultdict(<class 'int'>, {'person': 2})"
30,"defaultdict(<class 'int'>, {'person': 2})"
32,"defaultdict(<class 'int'>, {'person': 2})"
34,"defaultdict(<class 'int'>, {'person': 1})"
36,"defaultdict(<class 'int'>, {'person': 1})"
38,"defaultdict(<class 'int'>, {'person': 1})"
40,"defaultdict(<class 'int'>, {'person': 1})"
42,"defaultdict(<class 'int'>, {'person': 1})"
44,"defaultdict(<class 'int'>, {'person': 1})"
46,"defaultdict(<class 'int'>, {'person': 1})"
48,"defaultdict(<class 'int'>, {'person': 1})"
50,"defaultdict(<class 'int'>, {'person': 1})"
52,"defaultdict(<class 'int'>, {'person': 1})"
54,"defaultdict(<class 'int'>, {'person': 1})"
56,"defaultdict(<class 'int'>, {'person': 2})"
58,"defaultdict(<class 'int'>, {'person': 2})"
60,"defaultdict(<class 'int'>, {'person': 2})"
62,"defaultdict(<class 'int'>, {'person': 1})"
64,"defaultdict(<class 'int'>, {'person': 1})"
66,"defaultdict(<class 'int'>, {'person': 1})"
68,"defaultdict(<class 'int'>, {'person': 1})"
70,"defaultdict(<class 'int'>, {'person': 1})"
72,"defaultdict(<class 'int'>, {'person': 1})"
74,"defaultdict(<class 'int'>, {'person': 1})"
76,"defaultdict(<class 'int'>, {'person': 1})"
78,"defaultdict(<class 'int'>, {'person': 1})"
80,"defaultdict(<class 'int'>, {'person': 1})"
82,"defaultdict(<class 'int'>, {'person': 1})"
84,"defaultdict(<class 'int'>, {'person': 1})"
86,"defaultdict(<class 'int'>, {'person': 1})"
88,"defaultdict(<class 'int'>, {'person': 1})"
90,"defaultdict(<class 'int'>, {'person': 1})"
92,"defaultdict(<class 'int'>, {'person': 1})"
94,"defaultdict(<class 'int'>, {'person': 1})"
96,"defaultdict(<class 'int'>, {'person': 1})"
98,"defaultdict(<class 'int'>, {'person': 1})"
100,"defaultdict(<class 'int'>, {'person': 1})"
102,"defaultdict(<class 'int'>, {'person': 1})"
104,"defaultdict(<class 'int'>, {'person': 1})"
106,"defaultdict(<class 'int'>, {'person': 1})"
108,"defaultdict(<class 'int'>, {'person': 1})"
110,"defaultdict(<class 'int'>, {'person': 1})"
112,"defaultdict(<class 'int'>, {'person': 1})"
114,"defaultdict(<class 'int'>, {'person': 1})"
116,"defaultdict(<class 'int'>, {'person': 1})"
118,"defaultdict(<class 'int'>, {'person': 1})"
120,"defaultdict(<class 'int'>, {'person': 1})"
122,"defaultdict(<class 'int'>, {'person': 1})"
124,"defaultdict(<class 'int'>, {'person': 1})"
126,"defaultdict(<class 'int'>, {'person': 1})"
128,"defaultdict(<class 'int'>, {'person': 1})"
130,"defaultdict(<class 'int'>, {'person': 1})"
132,"defaultdict(<class 'int'>, {'person': 1})"
134,"defaultdict(<class 'int'>, {'person': 1})"
136,"defaultdict(<class 'int'>, {'person': 1})"
138,"defaultdict(<class 'int'>, {'person': 1})"
140,"defaultdict(<class 'int'>, {'person': 1})"
142,"defaultdict(<class 'int'>, {'person': 1})"
144,"defaultdict(<class 'int'>, {'person': 1})"
146,"defaultdict(<class 'int'>, {'person': 1})"
148,"defaultdict(<class 'int'>, {'person': 1})"
150,"defaultdict(<class 'int'>, {'person': 1})"
152,"defaultdict(<class 'int'>, {'person': 1})"
154,"defaultdict(<class 'int'>, {'person': 1})"
156,"defaultdict(<class 'int'>, {'person': 1})"
158,"defaultdict(<class 'int'>, {'person': 1})"
160,"defaultdict(<class 'int'>, {'person': 1})"
162,"defaultdict(<class 'int'>, {'person': 1})"
164,"defaultdict(<class 'int'>, {'person': 1})"
166,"defaultdict(<class 'int'>, {'person': 1})"
168,"defaultdict(<class 'int'>, {'person': 1})"
170,"defaultdict(<class 'int'>, {'person': 1})"
172,"defaultdict(<class 'int'>, {'person': 1})"
174,"defaultdict(<class 'int'>, {'person': 1})"
176,"defaultdict(<class 'int'>, {'person': 1})"
178,"defaultdict(<class 'int'>, {'person': 1})"
180,"defaultdict(<class 'int'>, {'person': 1})"
182,"defaultdict(<class 'int'>, {'person': 1})"
184,"defaultdict(<class 'int'>, {'person': 1})"
186,"defaultdict(<class 'int'>, {'person': 1})"
188,"defaultdict(<class 'int'>, {'person': 1})"
190,"defaultdict(<class 'int'>, {'person': 1})"
192,"defaultdict(<class 'int'>, {'person': 1})"
194,"defaultdict(<class 'int'>, {'person': 1})"
196,"defaultdict(<class 'int'>, {'person': 1})"
198,"defaultdict(<class 'int'>, {'person': 1})"
200,"defaultdict(<class 'int'>, {'person': 1})"
202,"defaultdict(<class 'int'>, {'person': 1})"
204,"defaultdict(<class 'int'>, {'person': 1})"
206,"defaultdict(<class 'int'>, {'person': 1})"
208,"defaultdict(<class 'int'>, {'person': 1})"
210,"defaultdict(<class 'int'>, {'person': 1})"
212,"defaultdict(<class 'int'>, {'person': 1})"
214,"defaultdict(<class 'int'>, {'person': 1})"
216,"defaultdict(<class 'int'>, {'person': 1})"
218,"defaultdict(<class 'int'>, {'person': 1})"
220,"defaultdict(<class 'int'>, {'person': 1})"
222,"defaultdict(<class 'int'>, {'person': 1})"
224,"defaultdict(<class 'int'>, {'person': 1})"
226,"defaultdict(<class 'int'>, {'person': 1})"
228,"defaultdict(<class 'int'>, {'person': 1})"
230,"defaultdict(<class 'int'>, {'person': 1})"
232,"defaultdict(<class 'int'>, {'person': 1})"
234,"defaultdict(<class 'int'>, {'person': 1})"
236,"defaultdict(<class 'int'>, {'person': 1})"
238,"defaultdict(<class 'int'>, {'person': 1})"
240,"defaultdict(<class 'int'>, {'person': 1})"
242,"defaultdict(<class 'int'>, {'person': 1})"
244,"defaultdict(<class 'int'>, {'person': 1})"
246,"defaultdict(<class 'int'>, {'person': 1})"
248,"defaultdict(<class 'int'>, {'person': 1})"
250,"defaultdict(<class 'int'>, {'person': 1})"
252,"defaultdict(<class 'int'>, {'person': 1})"
254,"defaultdict(<class 'int'>, {'person': 1})"
256,"defaultdict(<class 'int'>, {'person': 1})"
258,"defaultdict(<class 'int'>, {'person': 1})"
260,"defaultdict(<class 'int'>, {'person': 1})"
262,"defaultdict(<class 'int'>, {'person': 1})"
264,"defaultdict(<class 'int'>, {'person': 1})"
266,"defaultdict(<class 'int'>, {'person': 1})"
268,"defaultdict(<class 'int'>, {'person': 1})"
270,"defaultdict(<class 'int'>, {'person': 1})"
272,"defaultdict(<class 'int'>, {'person': 1})"
274,"defaultdict(<class 'int'>, {'person': 1})"
276,"defaultdict(<class 'int'>, {'person': 1})"
278,"defaultdict(<class 'int'>, {'person': 1})"
280,"defaultdict(<class 'int'>, {'person': 1})"
282,"defaultdict(<class 'int'>, {'person': 1})"
284,"defaultdict(<class 'int'>, {'person': 1})"
286,"defaultdict(<class 'int'>, {'person': 1})"
288,"defaultdict(<class 'int'>, {'person': 1})"
290,"defaultdict(<class 'int'>, {'person': 1})"
292,"defaultdict(<class 'int'>, {'person': 1})"
294,"defaultdict(<class 'int'>, {'person': 1})"
296,"defaultdict(<class 'int'>, {'person': 1})"
298,"defaultdict(<class 'int'>, {'person': 1})"
300,"defaultdict(<class 'int'>, {'person': 1})"
302,"defaultdict(<class 'int'>, {'person': 1})"
304,"defaultdict(<class 'int'>, {'person': 1})"
306,"defaultdict(<class 'int'>, {'person': 1})"
308,"defaultdict(<class 'int'>, {'person': 1})"
310,"defaultdict(<class 'int'>, {'person': 1})"
312,"defaultdict(<class 'int'>, {'person': 1})"
314,"defaultdict(<class 'int'>, {'person': 1})"
316,"defaultdict(<class 'int'>, {'person': 1})"
318,"defaultdict(<class 'int'>, {'person': 1})"
320,"defaultdict(<class 'int'>, {'person': 1})"
322,"defaultdict(<class 'int'>, {'person': 1})"
324,"defaultdict(<class 'int'>, {'person': 1})"
326,"defaultdict(<class 'int'>, {'person': 1})"
328,"defaultdict(<class 'int'>, {'person': 1})"
330,"defaultdict(<class 'int'>, {'person': 1})"
332,"defaultdict(<class 'int'>, {'person': 1})"
334,"defaultdict(<class 'int'>, {'person': 1})"
336,"defaultdict(<class 'int'>, {'person': 1})"
338,"defaultdict(<class 'int'>, {'person': 1})"
340,"defaultdict(<class 'int'>, {'person': 1})"
342,"defaultdict(<class 'int'>, {'person': 1})"
344,"defaultdict(<class 'int'>, {'person': 1})"
346,"defaultdict(<class 'int'>, {'person': 1})"
348,"defaultdict(<class 'int'>, {'person': 1})"
350,"defaultdict(<class 'int'>, {'person': 1})"
352,"defaultdict(<class 'int'>, {'person': 1})"
354,"defaultdict(<class 'int'>, {'person': 1})"
356,"defaultdict(<class 'int'>, {'person': 1})"
358,"defaultdict(<class 'int'>, {'person': 1})"
360,"defaultdict(<class 'int'>, {'person': 1})"
362,"defaultdict(<class 'int'>, {'person': 1})"
364,"defaultdict(<class 'int'>, {'person': 1})"
366,"defaultdict(<class 'int'>, {'person': 1})"
368,"defaultdict(<class 'int'>, {'person': 1})"
370,"defaultdict(<class 'int'>, {'person': 1})"
372,"defaultdict(<class 'int'>, {'person': 1})"
374,"defaultdict(<class 'int'>, {'person': 1})"
376,"defaultdict(<class 'int'>, {'person': 1})"
378,"defaultdict(<class 'int'>, {'person': 1})"
380,"defaultdict(<class 'int'>, {'person': 1})"
382,"defaultdict(<class 'int'>, {'person': 1})"
384,"defaultdict(<class 'int'>, {'person': 1})"
386,"defaultdict(<class 'int'>, {'person': 1})"
